name,id,class_num
UNK,0,0
用户,1,1
低压,2,2
居民,3,3
流程,4,4
申请受理,5,5
材料,6,6
客户有效身份证明,7,7
身份证,8,8
护照,9,9
户口簿,10,10
委托人,11,11
委托人的身份证明,12,12
委托授权书,13,13
房产证或租赁协议复印件（出具产权人房产证复印件及同意报装证明）,14,14
私人宅基地建筑,15,15
政府或规划部门的批复文件,16,16
在受理您的报装申请后我们将安排客户经理与您联系,17,17
非居民,18,18
流程,19,4
申请受理,20,5
材料,21,6
客户用电报装申请书、客户用电设备信息登记表（动力、照明）,22,22
企业法定代表人身份证复印件，或法定代表人签章的授权本单位人员的授权委托书及被授权经办人的身份证复印件,23,23
有效营业执照复印件,24,24
企业或工商客户,25,25
营业执照复印件,26,26
机关事业单位,27,27
事业法人证书或组织机构代码证复印件,28,28
军队,29,29
团级及以上证明,30,30
房产证复印件或租赁协议复印件（出具房产证复印件及同意报装证明）,31,31
农村,32,32
乡镇及以上政府或规划部门的批复文件,33,33
新建建筑物,34,34
立项、规划批复文件,35,35
国家优惠价,36,36
政府有关部门核发的资质证明和公益证明（学校、养老院、居委会）,37,37
外部工程施工,38,38
在受理您的报装申请后，我们将安排客户经理与您约定的时间进行现场勘查、收取报装资料，并根据典型设计开展外部工程施工。对涉及在居民小区内等公共区域施工的，贵方有协调业委会、物业或村委会等相关方责任，以便顺利完成施工。,39,39
装接电表,40,40
在竣工检验合格，签订《供用电合同》及相关协议后，我们将为您装表接电,41,41
高压,42,42
流程,43,4
申请受理,44,5
材料,45,6
主体证明,46,46
有效营业执照复印件,47,24
企业,48,48
营业执照复印件,49,26
机关事业单位或其他非营利组织,50,50
事业法人证书或组织机构代码证复印件,51,28
军队,52,29
团级及以上证明,53,30
企业法定代表人身份证复印件，或法定代表人签章的授权本单位人员的授权委托书及被授权经办的身份证复印件,54,54
报装申请资料,55,55
客户用电报装申请书、客户用电设备信息登记表（动力、照明）,56,56
房屋产权证明,57,57
租赁,58,58
租赁协议复印件及产权人同意报装证明材料,59,59
合法的土地使用证明,60,60
国有土地使用证，土地租赁协议及产权人同意报装证明材料,61,61
农村,62,32
由所在乡、镇或乡镇以上级别政府部门根据所辖权限开据证明,63,63
军队,64,29
团级及以上提供证明,65,65
国家优惠电价,66,66
政府有关部门核发的资质证明和公益证明（学校、养老院、居委会等）,67,67
项目立项及批复,68,68
上级批准文件、立项批准文件,69,69
需要规划立项,70,70
建设工程规划许可证及附件,71,71
钢铁、电解铝、铁合金、水泥、电石、烧碱、黄磷、锌冶炼高耗能等特殊行业客户,72,72
相关政府部门批准的许可文件包括政府主管部门立项或批复文件，环境评估报告、生产许可证等,73,73
方案答复,74,74
在受理您的报装申请后， 我们将安排客户经理与您约定的时间进行现场勘查，出具供电方案并向您答复,75,75
外部工程施工,76,38
请您自主选择具备相应资质的设计及施工单位进行设计施工。 工程竣工后，请及时报验，我们将安排竣工检验,77,77
装接电表,78,78
在竣工检验合格， 签订《供用电合同》及相关协议后，我们将为您装表接电,79,79
