query,class_label
我没听懂,0
您好,0
什么意思,0
我需要带电脑吗,1
我不是客服,0
我就是用户,0
220伏,0
10v电,0
36v电,0
999v电,0
220v,0
我是小区用户,0
小区用户,0
我是居民啊,0
我是西王庄小区的用户,0
我是明光村小区的用户,0
您好请问如何办电,0
你好我要办电,0
办电的流程？,0
办电应该怎么做？,0
我想办电,0
申请受理这一步我要做什么,0
申请受理不太懂,0
申请受理怎么弄啊,0
申请受理怎么办,0
申请受理？？？,0
请问我需要带什么材料吗,0
要带什么材料吗,0
要带什么东西吗,0
带什么东西,0
带什么材料,0
什么材料,0
办电的话，需要带什么呢,0
办电要带什么？,0
需要准备什么吗,0
要带什么吗,0
带什么,0
客户有效身份证明是指什么,0
客户有效身份证明是什么,0
什么是客户有效身份证明,0
客户有效身份证明是,0
客户有效身份证明包括,0
客户有效身份证明包括什么,0
我需要带客户有效身份证明吗,1
客户有效身份证明也要带着吗,1
我需要拿着客户有效身份证明吗,1
客户有效身份证明包括什么,0
需不需要带客户有效身份证明,1
身份证是什么,0
要身份证吗？,1
我需要带身份证吗,1
我就只带了身份证,0
需不需要拿着身份证？,1
身份证需要吗,1
护照是指,0
护照需要吗,1
需不需要带护照,1
我需要带护照吗,1
护照也要嘛,1
护照呢？,1
我需要拿户口簿吗,1
户口簿呢,1
请问我需要带户口簿吗,1
户口簿呢，要不要拿着,1
我只带了户口簿，可以嘛,0
我不是给自己办,0
我替我家里来办,0
我替我学校来办,0
我替我母亲来办,0
我替我上司来办,0
什么是委托人的身份证明,0
委托人的身份证明是啥呀,0
委托人的身份证明是啥,0
委托人的身份证明要不要带,1
委托人的身份证明要带吗？？,1
需不需要带着委托人的身份证明？,1
委托人的身份证明呢,1
我需要带着委托人的身份证明吗,1
委托授权书是指啥,0
委托授权书是什么,0
什么是委托授权书,0
委托授权书呢？,1
要带委托授权书吗,1
我需要拿着委托授权书吗,1
需不需要带委托授权书？,1
委托授权书可以不带吗,1
租赁协议复印件是什么,0
租赁协议复印件是啥,0
什么是租赁协议复印件,0
租赁协议复印件不知道,0
我需要带着租赁协议复印件吗,1
我需要带着房产证或租赁协议复印件（出具产权人房产证复印件及同意报装证明）吗,1
要准备房产证或租赁协议复印件（出具产权人房产证复印件及同意报装证明）吗,1
我需要带着房产证吗,1
需要带房产证吗,1
房产证是指,0
是私人宅基地建筑,0
这房子属于私人宅基地建筑,0
我家属于宅基地,0
算是私人宅基地建筑,0
我这算是私人宅基地建筑,0
政府的批复文件是什么,0
什么是政府的批复文件,0
政府的批复文件是啥呀,0
政府的批复文件需要带着么,1
需要规划部门的批复文件吗,1
政府或规划部门的批复文件是不是也得拿着？,1
需要带政府的批复文件吗,1
规划部门的批复文件也要带吗,1
我是非居民,0
我不是居民,0
授权经办人的身份证复印件是什么啊啊,0
我需要带被授权经办人的身份证复印件吗,1
企业法定代表人身份证复印件，或法定代表人签章的授权本单位人员的授权委托书及被授权经办人的身份证复印件是什么呢,0
要带企业法定代表人身份证复印件，或法定代表人签章的授权本单位人员的授权委托书及被授权经办人的身份证复印件吗,1
法定代表人签章的授权本单位人员的授权委托书是啥呀,0
法定代表人签章的授权本单位人员的授权委托书不懂,0
我需要带法定代表人签章的授权本单位人员的授权委托书吗,1
要带被授权经办人的身份证复印件吗,1
需要拿被授权经办人的身份证复印件吗,1
有效营业执照复印件是什么呢,0
有效营业执照复印件是什么啊,0
有效营业执照复印件是指啥呀,0
有效营业执照复印件包括什么,0
有效营业执照复印件也是需要的吧？,1
有效营业执照复印件需要吗,1
要带着有效营业执照复印件吗,1
有效营业执照复印件也得带着吗,1
