id,class_name,std_q,user_q,class_id
0,UNK,需要带电脑吗,我需要带电脑吗,0
0,UNK,请问你是谁,你是谁？,0
0,UNK,我不明白,我没听懂,0
0,UNK,今天天气不错,今天天气真好,0
0,UNK,我需要带手机吗,我要带着手机吗,0
0,UNK,请问你是大学生吗,你是大学生吗,0
0,UNK,我真的不是客服,我不是客服,0
0,UNK,额 是什么意思呢,什么意思,0
0,UNK,你好,您好,0
0,UNK,不好意思没听清,可以再说一遍吗,0
1,用户,我是用户,我就是用户,1
2,低压,低压电,999v电,2
2,低压,低压电,10v电,2
2,低压,低压电,36v电,2
2,低压,低压电,居民用电,2
2,低压,低压电,低压,2
2,低压,低压电,低压的电,2
2,低压,低压电,200伏的电,2
2,低压,低压电,220伏,2
2,低压,低压电,220v,2
2,低压,低压电,家庭用电,2
3,居民,居民用户,我是小区居民,3
3,居民,居民用户,我是小区用户,3
3,居民,居民用户,给自己家里用,3
3,居民,居民用户,给家里用,3
3,居民,居民用户,我是要给自己家里用,3
3,居民,居民用户,小区用户,3
3,居民,居民用户,我是居民啊,3
3,居民,居民用户,我是明光村小区的用户,3
3,居民,居民用户,我是东王庄小区用户,3
3,居民,居民用户,我是西王庄小区的用户,3
4,流程,办电流程是怎样的？,您好，我想问一下怎么办电呢,4
4,流程,办电流程是怎样的？,如何办电？,4
4,流程,办电流程是怎样的？,怎么办电？,4
4,流程,办电流程是怎样的？,您好，我想办电？,4
4,流程,办电流程是怎样的？,你好我要办电,4
4,流程,办电流程是怎样的？,您好请问如何办电,4
4,流程,办电流程是怎样的？,怎么办电呢,4
4,流程,办电流程是怎样的？,我想办电,4
4,流程,办电流程是怎样的？,办电应该怎么做？,4
4,流程,办电流程是怎样的？,办电的流程？,4
5,申请受理,申请受理这一步要怎么做,申请受理这一步包括什么,5
5,申请受理,申请受理这一步要怎么做,申请受理，我要怎么做,5
5,申请受理,申请受理这一步要怎么做,申请受理这一步我要做什么,5
5,申请受理,申请受理这一步要怎么做,申请受理是指,5
5,申请受理,申请受理这一步要怎么做,申请受理是？,5
5,申请受理,申请受理这一步要怎么做,申请受理怎么弄啊,5
5,申请受理,申请受理这一步要怎么做,申请受理不太懂,5
5,申请受理,申请受理这一步要怎么做,申请受理怎么办,5
5,申请受理,申请受理这一步要怎么做,申请受理我需要做什么,5
5,申请受理,申请受理这一步要怎么做,申请受理？？？,5
6,材料,需要带什么材料？,需要带什么吗,6
6,材料,需要带什么材料？,带什么,6
6,材料,需要带什么材料？,需要什么材料？,6
6,材料,需要带什么材料？,要带什么东西吗,6
6,材料,需要带什么材料？,需要准备什么吗,6
6,材料,需要带什么材料？,需要带点啥,6
6,材料,需要带什么材料？,办电要带什么？,6
6,材料,需要带什么材料？,办电的话，需要带什么呢,6
6,材料,需要带什么材料？,办电要带什么？,6
6,材料,需要带什么材料？,要带点什么嘛,6
7,客户有效身份证明,需要带客户有效身份证明吗,我需要带客户有效身份证明吗,7
7,客户有效身份证明,需要带客户有效身份证明吗,要带客户有效身份证明吗,7
7,客户有效身份证明,需要带客户有效身份证明吗,我需要拿着客户有效身份证明吗,7
7,客户有效身份证明,需要带客户有效身份证明吗,客户有效身份证明也要带着吗,7
7,客户有效身份证明,需要带客户有效身份证明吗,客户有效身份证明是指,7
7,客户有效身份证明,需要带客户有效身份证明吗,客户有效身份证明是？,7
