std_q,user_q,match_label,class_label
需要带电脑吗,装表接电，不是很明白,0,59
需要带电脑吗,我是西王庄小区的用户,0,3
需要带电脑吗,要上级批准文件吗,0,53
需要带电脑吗,我是代表中国宏桥集团有限公司来的,0,20
需要带电脑吗,申请受理这一步包括什么,0,5
需要带电脑吗,我是代表市审计局来的,0,40
需要带电脑吗,我是代表中国残疾人联合会来的,0,40
需要带电脑吗,土地租赁协议及产权人同意报装证明材料都要吗,0,48
需要带电脑吗,我是代表中兴通讯股份有限公司来的,0,39
需要带电脑吗,给自己家里用,0,3
需要带电脑吗,我是农业局的,0,22
需要带电脑吗,当时电价有打折,0,50
需要带电脑吗,外部工程施工指的是？,0,35
需要带电脑吗,我是市新闻出版局的,0,40
需要带电脑吗,我不是给自己办,0,11
需要带电脑吗,规划部门的批复文件也要带吗,0,16
需要带电脑吗,房产证复印件需要吗,0,26
需要带电脑吗,要政府有关部门核发的资质证明和公益证明（学校、养老院、居委会）吗,0,34
需要带电脑吗,我属于市教育局,0,22
需要带电脑吗,我是代表中兴通讯股份有限公司来的,0,39
我是用户,客户有效身份证明是？,0,7
我是用户,七折价,0,33
我是用户,护照要不要拿？,0,9
我是用户,我属于中国中车股份有限公司,0,39
我是用户,我是空军的,0,24
我是用户,我是代表碧桂园控股有限公司来的,0,39
我是用户,装表接电是怎么回事,0,59
我是用户,这房子是宅基地,0,15
我是用户,我是新华通讯社的,0,22
我是用户,需要拿着政府有关部门核发的资质证明和公益证明（学校、养老院、居委会等）吗,0,51
我是用户,申请受理这一步我要做什么,0,5
我是用户,规划部门的批复文件也要带吗,0,16
我是用户,需不需要拿着身份证？,0,8
我是用户,我是中华人民共和国信息产业部的,0,40
我是用户,要带着客户用电设备信息登记表（动力、照明）吗,0,43
我是用户,委托人的身份证明需要吗,0,12
我是用户,主体证明是不是也要？,0,38
我是用户,我是代表中国气象局来的,0,22
我是用户,我需要拿着委托授权书吗,0,13
低压电,我是代表中国铝业股份有限公司来的,0,20
低压电,我是做钢铁的,0,56
低压电,要相关政府部门批准的许可文件包括政府主管部门立项或批复文件，环境评估报告、生产许可证等吗,0,57
低压电,我是代表海航科技股份有限公司来的,0,39
低压电,我是中国能源建设股份有限公司的,0,20
低压电,我是上海电气集团股份有限公司的,0,20
低压电,我要带相关政府部门批准的许可文件包括政府主管部门立项或批复文件，环境评估报告、生产许可证等嘛,0,57
低压电,要带企业法定代表人身份证复印件，或法定代表人签章的授权本单位人员的授权委托书及被授权经办人的身份证复印件吗,0,18
低压电,要产权人同意报装证明材料吗,0,48
低压电,是新建建筑物,0,29
低压电,需要准备政府有关部门核发的资质证明和公益证明吗,0,34
低压电,我需带着国有土地使用证吗,0,47
低压电,属于私人宅基地建筑,0,15
低压电,要带点什么嘛,0,6
低压电,我是代表市信访局来的,0,22
低压电,七折电价,0,50
低压电,我属于中国中信股份有限公司,0,39
低压电,我属于中国人民解放军的,0,24
低压电,你好我要办电,0,4
居民用户,乡镇及以上政府或规划部门的批复文件也需要吗,0,28
居民用户,我是代表工程兵来的,0,24
居民用户,我是代表中国东方航空股份有限公司来的,0,20
居民用户,规划部门的批复文件也要带吗,0,16
居民用户,需不需要带房屋产权证明,0,44
居民用户,要房屋产权证明嘛,0,44
居民用户,我没听懂,0,0
居民用户,外部工程施工不太懂呢,0,35
居民用户,护照要不要拿？,0,9
居民用户,相关政府部门批准的许可文件包括政府主管部门立项或批复文件，环境评估报告、生产许可证等都需要吗,0,57
居民用户,我是代表比亚迪股份有限公司来的,0,39
居民用户,我是中国光大银行股份有限公司的,0,20
居民用户,要带着土地租赁协议及产权人同意报装证明材料吗,0,48
居民用户,我属于国务院发展研究中心,0,40
居民用户,是私人宅基地建筑,0,15
居民用户,我是国家林业局的,0,22
居民用户,需要合法的土地使用证明吗,0,47
居民用户,房产证复印件需要吗,0,26
居民用户,999v电,0,2
居民用户,由所在乡、镇或乡镇以上级别政府部门根据所辖权限开据证明，这个需要吗,0,49
办电流程是怎样的？,需要拿被授权经办人的身份证复印件吗,0,18
办电流程是怎样的？,我属于国家行政学院,0,40
办电流程是怎样的？,委托授权书可以不带吗,0,13
办电流程是怎样的？,我是代表物价局来的,0,40
办电流程是怎样的？,我是代表市体育局来的,0,22
办电流程是怎样的？,我是中华人民共和国国家新闻出版署的,0,22
办电流程是怎样的？,我是北医三院的,0,40
办电流程是怎样的？,我是公安局的,0,40
办电流程是怎样的？,我是代表中国气象局来的,0,22
办电流程是怎样的？,我是代表中华全国工商业联合会来的,0,22
办电流程是怎样的？,我是北京师范大学的,0,40
办电流程是怎样的？,是宅基地建筑,0,15
办电流程是怎样的？,不知道装接电表是啥,0,36
办电流程是怎样的？,我属于中国保险监督管理委员会,0,22
办电流程是怎样的？,要国有土地使用证吗,0,47
办电流程是怎样的？,我是代表中国国际海运集装箱股份有限公司来的,0,20
办电流程是怎样的？,只有身份证，行吗？,0,8
办电流程是怎样的？,我需要带着租赁协议复印件吗,0,14
办电流程是怎样的？,我需要带着产权人同意报装证明材料吗,0,46
办电流程是怎样的？,我是锌冶炼行业的,0,56
申请受理这一步要怎么做,我是代表市信访局来的,0,22
