std_q,user_q,match_label,class_label
需要带电脑吗,我需要带电脑吗,0,0
需要带电脑吗,你是谁？,0,0
需要带电脑吗,我没听懂,0,0
需要带电脑吗,今天天气真好,0,0
需要带电脑吗,我要带着手机吗,0,0
需要带电脑吗,你是大学生吗,0,0
需要带电脑吗,我不是客服,0,0
需要带电脑吗,什么意思,0,0
需要带电脑吗,您好,0,0
我是用户,我就是用户,1,1
低压电,999v电,1,2
低压电,10v电,1,2
低压电,36v电,1,2
低压电,居民用电,1,2
低压电,低压,1,2
低压电,低压的电,1,2
低压电,200伏的电,1,2
低压电,220伏,1,2
低压电,220v,1,2
低压电,家庭用电,1,2
居民用户,我是小区居民,1,3
居民用户,我是小区用户,1,3
居民用户,给自己家里用,1,3
居民用户,给家里用,1,3
居民用户,我是要给自己家里用,1,3
居民用户,小区用户,1,3
居民用户,我是居民啊,1,3
居民用户,我是明光村小区的用户,1,3
居民用户,我是东王庄小区用户,1,3
居民用户,我是西王庄小区的用户,1,3
办电流程是怎样的？,您好，我想问一下怎么办电呢,1,4
办电流程是怎样的？,如何办电？,1,4
办电流程是怎样的？,怎么办电？,1,4
办电流程是怎样的？,您好，我想办电？,1,4
办电流程是怎样的？,你好我要办电,1,4
办电流程是怎样的？,您好请问如何办电,1,4
办电流程是怎样的？,怎么办电呢,1,4
办电流程是怎样的？,我想办电,1,4
办电流程是怎样的？,办电应该怎么做？,1,4
办电流程是怎样的？,办电的流程？,1,4
申请受理这一步要怎么做,申请受理这一步包括什么,1,5
申请受理这一步要怎么做,申请受理，我要怎么做,1,5
申请受理这一步要怎么做,申请受理这一步我要做什么,1,5
申请受理这一步要怎么做,申请受理是指,1,5
申请受理这一步要怎么做,申请受理是？,1,5
申请受理这一步要怎么做,申请受理怎么弄啊,1,5
申请受理这一步要怎么做,申请受理不太懂,1,5
申请受理这一步要怎么做,申请受理怎么办,1,5
申请受理这一步要怎么做,申请受理我需要做什么,1,5
申请受理这一步要怎么做,申请受理？？？,1,5
需要带什么材料？,需要带什么吗,1,6
需要带什么材料？,带什么,1,6
需要带什么材料？,需要什么材料？,1,6
需要带什么材料？,要带什么吗,1,6
需要带什么材料？,需要准备什么吗,1,6
需要带什么材料？,需要带点啥,1,6
需要带什么材料？,办电要带什么？,1,6
需要带什么材料？,办电的话，需要带什么呢,1,6
需要带什么材料？,办电要带什么？,1,6
需要带什么材料？,要带点什么嘛,1,6
需要带客户有效身份证明吗,我需要带客户有效身份证明吗,1,7
需要带客户有效身份证明吗,要带客户有效身份证明吗,1,7
需要带客户有效身份证明吗,我需要拿着客户有效身份证明吗,1,7
需要带客户有效身份证明吗,客户有效身份证明也要带着吗,1,7
需要带客户有效身份证明吗,客户有效身份证明是指,1,7
需要带客户有效身份证明吗,客户有效身份证明是？,1,7
需要带客户有效身份证明吗,客户有效身份证明包括什么,1,7
需要带客户有效身份证明吗,需不需要带客户有效身份证明,1,7
需要带客户有效身份证明吗,客户有效身份证明也得带着吗,1,7
需要带客户有效身份证明吗,带客户有效身份证明就可以了么,1,7
需要带身份证吗,我需要带身份证吗,1,8
需要带身份证吗,要带身份证吗,1,8
需要带身份证吗,身份证需要吗,1,8
需要带身份证吗,我就只带了身份证,1,8
需要带身份证吗,身份证？,1,8
需要带身份证吗,带了身份证,1,8
需要带身份证吗,没带身份证,1,8
需要带身份证吗,需不需要拿着身份证？,1,8
需要带身份证吗,要拿身份证吗,1,8
需要带身份证吗,只有身份证，行吗？,1,8
需要带护照吗,我需要带护照吗,1,9
需要带护照吗,护照需要吗,1,9
需要带护照吗,护照要带吗,1,9
需要带护照吗,护照呢？,1,9
需要带护照吗,要拿着护照嘛,1,9
需要带护照吗,需不需要带护照,1,9
需要带护照吗,护照也要嘛,1,9
需要带护照吗,带了护照。。,1,9
需要带护照吗,护照要不要拿？,1,9
需要带护照吗,护照要带着嘛？,1,9
需要带户口簿吗,我需要带户口簿吗,1,10
需要带户口簿吗,我需要拿户口簿吗,1,10
需要带户口簿吗,我需要带着户口簿咩,1,10
需要带户口簿吗,户口簿需要嘛,1,10
需要带户口簿吗,户口簿呢,1,10
需要带户口簿吗,户口簿呢，要不要拿着,1,10
需要带户口簿吗,要带户口簿吗？,1,10
需要带户口簿吗,我只带了户口簿，可以嘛,1,10
需要带户口簿吗,请问我需要带户口簿吗,1,10
需要带户口簿吗,户口簿也要啊。。,1,10
我是委托人,我替我朋友来办,1,11
我是委托人,我替我家里来办,1,11
我是委托人,我替我母亲来办,1,11
我是委托人,我替我父亲来办,1,11
我是委托人,我替我学校来办,1,11
我是委托人,我替我公司来办,1,11
我是委托人,我替我上司来办,1,11
我是委托人,我朋友让我帮忙办,1,11
我是委托人,我们公司委托我来办电,1,11
我是委托人,我不是给自己办,1,11
需要带委托人的身份证明吗,要带委托人的身份证明吗,1,12
需要带委托人的身份证明吗,委托人的身份证明需要吗,1,12
需要带委托人的身份证明吗,委托人的身份证明呢,1,12
需要带委托人的身份证明吗,委托人的身份证明呢？要带吗？,1,12
需要带委托人的身份证明吗,我需要带着委托人的身份证明吗,1,12
需要带委托人的身份证明吗,委托人的身份证明要不要带,1,12
需要带委托人的身份证明吗,委托人的身份证明要带吗？？,1,12
需要带委托人的身份证明吗,委托人的身份证明也是要的吧？,1,12
需要带委托人的身份证明吗,委托人的身份证明也是需要的吧？,1,12
需要带委托人的身份证明吗,需不需要带着委托人的身份证明？,1,12
需要带委托授权书吗,要带委托授权书吗,1,13
需要带委托授权书吗,委托授权书也要吗,1,13
需要带委托授权书吗,委托授权书也要带着吗,1,13
需要带委托授权书吗,需不需要带委托授权书？,1,13
需要带委托授权书吗,委托授权书呢？,1,13
需要带委托授权书吗,委托授权书可以不带吗,1,13
需要带委托授权书吗,我需要拿着委托授权书吗,1,13
需要带委托授权书吗,需要准备委托授权书嘛？,1,13
需要带委托授权书吗,委托授权书是不是也要带着？,1,13
需要带委托授权书吗,我现在只有委托授权书,1,13
