id,query,label
114,"低压,我是小区居民","2,3"
119,"低压,如何办电？","2,4"
121,"低压用户,如何办电？","2,4"
129,"低压用户,带什么","2,6"
130,"低压,我需要带客户有效身份证明吗","2,7"
131,"低压,要带客户有效身份证明吗","2,7"
140,"低压用户,我需要带护照吗","2,9"
141,"低压用户,护照需要吗","2,9"
146,"低压,我替我朋友来办","2,11"
147,"低压,我替我家里来办","2,11"
152,"低压用户,要带委托人的身份证明吗","2,12"
155,"低压,委托授权书也要吗","2,13"
157,"低压用户,委托授权书也要吗","2,13"
160,"低压用户,需要带房产证吗","2,14"
162,"低压,我这算是私人宅基地建筑","2,15"
163,"低压,我家属于宅基地","2,15"
164,"低压用户,我这算是私人宅基地建筑","2,15"
176,"低压用户,要带企业法定代表人身份证复印件，或法定代表人签章的授权本单位人员的授权委托书及被授权经办人的身份证复印件吗","2,18"
177,"低压用户,我需要带企业法定代表人身份证复印件，或法定代表人签章的授权本单位人员的授权委托书及被授权经办人的身份证复印件吗","2,18"
183,"低压,我是代表我们公司来的","2,20"
184,"低压用户,我是代表公司来的","2,20"
186,"低压,要带营业执照复印件吗","2,21"
187,"低压,我需要要带有业执照复印件吗","2,21"
193,"低压用户,我是代表学校来的","2,22"
194,"低压,要事业法人证书或组织机构代码证复印件吗","2,23"
195,"低压,要带事业法人证书或组织机构代码证复印件吗","2,23"
196,"低压用户,要事业法人证书或组织机构代码证复印件吗","2,23"
197,"低压用户,要带事业法人证书或组织机构代码证复印件吗","2,23"
205,"低压用户,是不是需要团级及以上证明","2,25"
207,"低压,我需要带房产证复印件或租赁协议复印件（出具房产证复印件及同意报装证明）吗","2,26"
211,"我是低压用户,家是农村的","2,27"
214,"我是低压用户,要乡镇及以上政府或规划部门的批复文件吗","2,28"
219,"我是低压用户,我这里是新建的","2,29"
220,"低压用户,我这里是新盖的","2,29"
221,"低压用户,我这里是新建的","2,29"
234,"低压用户,是国家优惠价","2,33"
236,"我是低压用户,要政府有关部门核发的资质证明和公益证明（学校、养老院、居委会）吗","2,34"
239,"低压用户,我要带着政府有关部门核发的资质证明和公益证明（学校、养老院、居委会）吗","2,34"
240,"我是低压用户,外部工程施工具体指什么","2,35"
241,"我是低压用户,外部工程施工指什么","2,35"
242,"低压用户,外部工程施工具体指什么","2,35"
243,"低压用户,外部工程施工指什么","2,35"
252,"我是低压用户,要主体证明吗","2,38"
256,"我是低压用户,属于企业","2,39"
259,"低压用户,我代表公司来的","2,39"
260,"我是低压用户,而且是机关事业单位的","2,40"
264,"我是低压用户,要企业法定代表人身份证复印件，或法定代表人签章的授权本单位人员的授权委托书及被授权经办的身份证复印件吗","2,41"
267,"低压用户,要带着企业法定代表人身份证复印件，或法定代表人签章的授权本单位人员的授权委托书及被授权经办的身份证复印件吗","2,41"
274,"低压用户,要客户用电报装申请书、客户用电设备信息登记表（动力、照明）吗","2,43"
279,"低压用户,要房屋产权证明嘛","2,44"
280,"我是低压用户,这房子是我租的","2,45"
286,"低压用户,要租赁协议复印件及产权人同意报装证明材料吗","2,46"
287,"低压用户,我需要带着租赁协议复印件及产权人同意报装证明材料吗","2,46"
289,"我是低压用户,要合法的土地使用证明吗","2,47"
290,"低压用户,要合法的土地使用证明吗","2,47"
302,"低压用户,是国家优惠电价","2,50"
310,"低压用户,要项目立项及批复吗","2,52"
312,"我是低压用户,要上级批准文件、立项批准文件吗","2,53"
317,"低压用户,要规划立项","2,54"
318,"我是低压用户,要建设工程规划许可证及附件吗","2,55"
320,"低压用户,要建设工程规划许可证及附件吗","2,55"
322,"我是低压用户,属于钢铁、电解铝、铁合金、水泥、电石、烧碱、黄磷、锌冶炼高耗能等特殊行业客户","2,56"
325,"低压用户,我是做钢铁的","2,56"
328,"低压用户,要相关政府部门批准的许可文件包括政府主管部门立项或批复文件，环境评估报告、生产许可证等吗","2,57"
330,"我是低压用户,方案答复具体指什么","2,58"
331,"我是低压用户,方案答复这一步我需要做什么？","2,58"
333,"低压用户,方案答复这一步我需要做什么？","2,58"
334,"我是低压用户,装表接电具体指什么","2,59"
336,"低压用户,装表接电具体指什么","2,59"
337,"低压用户,装表接电是？","2,59"
340,"我是小区用户,想问一下怎么办电呢","3,4"
