id,query,label
0,"我就是用户,999v电","1,2"
1,"我就是用户,10v电","1,2"
2,"我就是用户,我是小区居民","1,3"
3,"我就是用户,我是小区用户","1,3"
4,"我就是用户,您好，我想问一下怎么办电呢","1,4"
5,"我就是用户,如何办电？","1,4"
6,"我就是用户,申请受理这一步包括什么","1,5"
7,"我就是用户,申请受理，我要怎么做","1,5"
8,"我就是用户,需要带什么吗","1,6"
9,"我就是用户,带什么","1,6"
10,"我就是用户,我需要带客户有效身份证明吗","1,7"
11,"我就是用户,要带客户有效身份证明吗","1,7"
12,"我就是用户,我需要带身份证吗","1,8"
13,"我就是用户,要带身份证吗","1,8"
14,"我就是用户,我需要带护照吗","1,9"
15,"我就是用户,护照需要吗","1,9"
16,"我就是用户,我需要带户口簿吗","1,10"
17,"我就是用户,我需要拿户口簿吗","1,10"
18,"我就是用户,我替我朋友来办","1,11"
19,"我就是用户,我替我家里来办","1,11"
20,"我就是用户,要带委托人的身份证明吗","1,12"
21,"我就是用户,委托人的身份证明需要吗","1,12"
22,"我就是用户,要带委托授权书吗","1,13"
23,"我就是用户,委托授权书也要吗","1,13"
24,"我就是用户,需要带房产证吗","1,14"
25,"我就是用户,需要带租赁协议复印件吗","1,14"
26,"我就是用户,我这算是私人宅基地建筑","1,15"
27,"我就是用户,我家属于宅基地","1,15"
28,"我就是用户,需要带政府的批复文件吗","1,16"
29,"我就是用户,需要带规划部门的批复文件吗","1,16"
30,"我就是用户,我是非居民","1,17"
31,"我就是用户,我不是居民","1,17"
32,"我就是用户,要带企业法定代表人身份证复印件，或法定代表人签章的授权本单位人员的授权委托书及被授权经办人的身份证复印件吗","1,18"
33,"我就是用户,我需要带企业法定代表人身份证复印件，或法定代表人签章的授权本单位人员的授权委托书及被授权经办人的身份证复印件吗","1,18"
34,"我就是用户,要带有效营业执照复印件吗","1,19"
35,"我就是用户,我需要要带有效营业执照复印件吗","1,19"
36,"我就是用户,我是代表公司来的","1,20"
37,"我就是用户,我是代表我们公司来的","1,20"
38,"我就是用户,要带营业执照复印件吗","1,21"
39,"我就是用户,我需要要带有业执照复印件吗","1,21"
40,"我就是用户,我是机关事业单位的","1,40"
41,"我就是用户,我是代表学校来的","1,22"
42,"我就是用户,要事业法人证书或组织机构代码证复印件吗","1,23"
43,"我就是用户,要带事业法人证书或组织机构代码证复印件吗","1,23"
44,"我就是用户,我是军队的","1,24"
45,"我就是用户,我是军队的","1,24"
46,"我就是用户,要团级及以上证明吗","1,25"
47,"我就是用户,是不是需要团级及以上证明","1,25"
48,"我就是用户,要房产证复印件或租赁协议复印件（出具房产证复印件及同意报装证明）吗","1,26"
49,"我就是用户,我需要带房产证复印件或租赁协议复印件（出具房产证复印件及同意报装证明）吗","1,26"
50,"我就是用户,我在我们村里办电","1,27"
51,"我就是用户,我家是农村的","1,27"
52,"我就是用户,要乡镇及以上政府或规划部门的批复文件吗","1,28"
