user_q,std_q,match_label,class_label
"需要带规划部门的批复文件吗,是国家优惠价",1,1,"16,33"
"我是机关事业单位的,需不需要报装申请资料",1,1,"40,42"
"低压,要带事业法人证书或组织机构代码证复印件吗",1,1,"2,23"
"外部工程施工具体指什么,是我租的房子",1,1,"35,45"
"要合法的土地使用证明吗,当时电价有打折",1,1,"47,50"
"我是机关事业单位的,方案答复这一步我需要做什么？",1,1,"40,58"
"要房产证复印件或租赁协议复印件（出具房产证复印件及同意报装证明）吗,这房子是我租的",1,1,"26,45"
"我不是居民,要土地租赁协议及产权人同意报装证明材料吗",1,1,"17,48"
"申请受理，我要怎么做,需要带租赁协议复印件吗",1,1,"5,14"
"我是军队的,要上级批准文件、立项批准文件吗",1,1,"24,53"
"低压用户,我是做钢铁的",1,1,"2,56"
"要带着企业法定代表人身份证复印件，或法定代表人签章的授权本单位人员的授权委托书及被授权经办的身份证复印件吗,要上级批准文件吗",1,1,"41,53"
"我是非居民,这房子是我租的",1,1,"17,45"
"我需要带户口簿吗,要由所在乡、镇或乡镇以上级别政府部门根据所辖权限开据证明吗",1,1,"10,49"
"低压用户,委托授权书也要吗",1,1,"2,13"
"装接电表具体指什么,请问要由所在乡、镇或乡镇以上级别政府部门根据所辖权限开据证明吗",1,1,"36,49"
"要带企业法定代表人身份证复印件，或法定代表人签章的授权本单位人员的授权委托书及被授权经办人的身份证复印件吗,需要带立项文件吗",1,1,"18,31"
"我这算是私人宅基地建筑,高压",1,1,"15,37"
"要土地租赁协议及产权人同意报装证明材料吗,我是做钢铁的",1,1,"48,56"
"要带企业法定代表人身份证复印件，或法定代表人签章的授权本单位人员的授权委托书及被授权经办人的身份证复印件吗,要带着土地租赁协议及产权人同意报装证明材料吗",1,1,"18,48"
"申请受理，我要怎么做,要带着企业法定代表人身份证复印件，或法定代表人签章的授权本单位人员的授权委托书及被授权经办的身份证复印件吗",1,1,"5,41"
"我需要带房产证复印件或租赁协议复印件（出具房产证复印件及同意报装证明）吗,需不需要报装申请资料",1,1,"26,42"
"我需要拿户口簿吗,要客户用电报装申请书、客户用电设备信息登记表（动力、照明）吗",1,1,"10,43"
"要带客户有效身份证明吗,我是机关事业单位的",1,1,"7,40"
"我家是农村的,我要带着政府有关部门核发的资质证明和公益证明（学校、养老院、居委会等）吗",1,1,"27,51"
"要事业法人证书或组织机构代码证复印件吗,我属于钢铁、电解铝、铁合金、水泥、电石、烧碱、黄磷、锌冶炼高耗能等特殊行业客户",1,1,"23,56"
"要事业法人证书或组织机构代码证复印件吗,要带着企业法定代表人身份证复印件，或法定代表人签章的授权本单位人员的授权委托书及被授权经办的身份证复印件吗",1,1,"23,41"
"需要带租赁协议复印件吗,要带企业法定代表人身份证复印件，或法定代表人签章的授权本单位人员的授权委托书及被授权经办人的身份证复印件吗",1,1,"14,18"
"我替我家里来办,我是军队的",1,1,"11,24"
"我家是农村的,要合法的土地使用证明吗",1,1,"27,47"
"需要带着客户用电报装申请书、客户用电设备信息登记表（动力、照明）吗,要房屋产权证明吗",1,1,"43,44"
"我需要带户口簿吗,我需要带相关政府部门批准的许可文件包括政府主管部门立项或批复文件，环境评估报告、生产许可证等吗",1,1,"10,57"
"您好，我想问一下怎么办电呢,我需要拿户口簿吗",1,1,"4,10"
"要带客户有效身份证明吗,需不需要乡镇及以上政府或规划部门的批复文件",1,1,"7,28"
"要带规划批复文件吗,要合法的土地使用证明吗",1,1,"32,47"
"我是机关事业单位的,要由所在乡、镇或乡镇以上级别政府部门根据所辖权限开据证明吗",1,1,"40,49"
"我需要拿户口簿吗,是国家优惠电价",1,1,"10,50"
"我需要带户口簿吗,我是代表公司来的",1,1,"10,20"
"要带委托人的身份证明吗,需要带房产证吗",1,1,"12,14"
"外部工程施工具体指什么,要带项目立项及批复吗",1,1,"35,52"
"我需要带户口簿吗,请问要由所在乡、镇或乡镇以上级别政府部门根据所辖权限开据证明吗",1,1,"10,49"
"申请受理，我要怎么做,家是农村的",1,1,"5,27"
"低压,我家属于宅基地",1,1,"2,15"
"需要带什么吗,要建设工程规划许可证及附件吗",1,1,"6,55"
"我要带着政府有关部门核发的资质证明和公益证明（学校、养老院、居委会等）吗,装表接电是？",1,1,"51,59"
"我需要带企业法定代表人身份证复印件，或法定代表人签章的授权本单位人员的授权委托书及被授权经办人的身份证复印件吗,规划批复文件是不是也需要带着？",1,1,"18,32"
"带什么呢,要房屋产权证明吗",1,1,"6,44"
"我需要带房产证复印件或租赁协议复印件（出具房产证复印件及同意报装证明）吗,装接电表是？",1,1,"26,36"
"国家给了优惠,要合法的土地使用证明吗",1,1,"33,47"
"我需要带着租赁协议复印件及产权人同意报装证明材料吗,方案答复具体指什么",1,1,"46,58"
"需要带什么吗,要带立项、规划批复文件吗",1,1,"6,30"
"我是低压用户,要企业法定代表人身份证复印件，或法定代表人签章的授权本单位人员的授权委托书及被授权经办的身份证复印件吗",1,1,"2,41"
"我是小区居民,需要带什么吗",1,1,"3,6"
"要企业法定代表人身份证复印件，或法定代表人签章的授权本单位人员的授权委托书及被授权经办的身份证复印件吗,要合法的土地使用证明吗",1,1,"41,47"
"我属于企业,要带着企业法定代表人身份证复印件，或法定代表人签章的授权本单位人员的授权委托书及被授权经办的身份证复印件吗",1,1,"39,41"
"要带有效营业执照复印件吗,外部工程施工具体指什么",1,1,"19,35"
"我需要带身份证吗,要房产证复印件或租赁协议复印件（出具房产证复印件及同意报装证明）吗",1,1,"8,26"
"我需要带身份证吗,要带项目立项及批复吗",1,1,"8,52"
"申请受理这一步包括什么,要土地租赁协议及产权人同意报装证明材料吗",1,1,"5,48"
"我需要带房产证复印件或租赁协议复印件（出具房产证复印件及同意报装证明）吗,要乡镇及以上政府或规划部门的批复文件吗",1,1,"26,28"
"装接电表是？,要企业法定代表人身份证复印件，或法定代表人签章的授权本单位人员的授权委托书及被授权经办的身份证复印件吗",1,1,"36,41"
"要带规划批复文件吗,要企业法定代表人身份证复印件，或法定代表人签章的授权本单位人员的授权委托书及被授权经办的身份证复印件吗",1,1,"32,41"
"我是代表学校来的,要带着土地租赁协议及产权人同意报装证明材料吗",1,1,"22,48"
"我需要拿户口簿吗,我是代表公司来的",1,1,"10,20"
"要房产证复印件或租赁协议复印件（出具房产证复印件及同意报装证明）吗,外部工程施工具体指什么",1,1,"26,35"
"申请受理，我要怎么做,高压",1,1,"5,37"
"外部工程施工具体指什么,高压",1,1,"35,37"
